Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	NrmseBefore(AE)	NrmseAfter(AE)
14.775655269622803	0	16000	320	-0.8696461279676605	-43.48230639838302	5.832943806479829	-21.794998541472786	-58.74493316697321	50.0	0.0	32000	640	-43.48230639838302	0.003410406962977937	0.36084324	244.47633	0.008374261249635797	0.008357788252828968
42.94042921066284	1	16000	320	-0.7261529405682229	-36.30764702841114	5.085936963054344	-22.861112250969818	-50.88313571397624	50.0	0.0	48000	960	-36.30764702841114	0.003948809638183935	0.35295767	148.00839	0.04572559678094694	0.04403792811558315
72.17148041725159	2	16000	320	-0.6644945536285037	-33.22472768142519	4.3686124640400115	-22.497180997291398	-47.848217001510214	50.0	0.0	64000	1280	-33.22472768142519	0.004339142159712777	0.34404916	134.07518	0.08773698184148047	0.07314499806526333
101.7548828125	3	16000	320	-0.6248983998922087	-31.244919994610438	4.184010771676913	-18.545814999267886	-42.553288753789715	50.0	0.0	80000	1600	-31.244919994610438	0.0046179524044922815	0.33493066	124.74772	0.07395648687649829	0.06597812810798569
131.40517950057983	4	16000	320	-0.5834758523629443	-29.173792618147218	3.812288145739524	-20.50993790022806	-44.33927411176221	50.0	0.0	96000	1920	-29.173792618147218	0.004878751663339313	0.32724437	114.10112	0.07550739410695992	0.06949893693068508
161.12287712097168	5	16000	320	-0.5510795776215994	-27.553978881079967	3.2998913174624476	-19.492880169177514	-40.62024444750758	50.0	0.0	112000	2240	-27.553978881079967	0.0051687362705183666	0.31965697	87.445145	0.06769125269564612	0.06206953380655507
191.06180715560913	6	16000	320	-0.5250804162731327	-26.25402081365663	3.3768337772146113	-15.930071460727195	-36.44031927592843	50.0	0.0	128000	2560	-26.25402081365663	0.005390073095283781	0.3101886	89.08897	0.06058587575873886	0.05667543840506839
220.76284956932068	7	16000	320	-0.49028134731546735	-24.51406736577337	2.959392125308834	-14.490174338464456	-33.420171464443925	50.0	0.0	144000	2880	-24.51406736577337	0.005635237314402953	0.30292317	70.620865	0.062026555124931944	0.0581123675394803
250.938059091568	8	16000	320	-0.4765339271890185	-23.826696359450928	2.8017141715320553	-12.359845274027379	-31.12719471331515	50.0	0.0	160000	3200	-23.826696359450928	0.005848996834382852	0.29497695	70.26775	0.06348748595014285	0.059964084221702435
281.4030237197876	9	16000	320	-0.4519971316138223	-22.599856580691114	2.915479072691946	-14.087619127143874	-29.81795951237821	50.0	0.0	176000	3520	-22.599856580691114	0.0060233505403830025	0.2864445	72.77142	0.0669629405954348	0.06431677022110235
