Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	NrmseBefore(AE)	NrmseAfter(AE)
13.780233144760132	0	16000	320	-1.0423705542786563	-52.11852771393283	17.174724365189267	-21.38683120131526	-103.69305815084114	50.0	0.0	32000	640	-52.11852771393283	0.000679462655358394	0.36520702	710.10657	0.01153595495560062	0.011520277425252983
37.72270655632019	1	16000	320	-0.8208233744111635	-41.04116872055816	12.187254844022364	-23.400168567758637	-83.11422997686455	50.0	0.0	48000	960	-41.04116872055816	0.0009190959112637439	0.36202353	345.91275	0.008925277094522134	0.008911882259412248
64.65103125572205	2	16000	320	-0.7444355924654545	-37.221779623272724	9.495953276965698	-20.781280546841078	-65.77115543559711	50.0	0.0	64000	1280	-37.221779623272724	0.0011064062871443345	0.35937816	255.92659	0.027505139097428594	0.026508756708741595
92.29171061515808	3	16000	320	-0.7028782678709906	-35.143913393549525	8.037864603349384	-18.618995978755695	-61.32463457225378	50.0	0.0	80000	1600	-35.143913393549525	0.0012566567624361581	0.35657543	227.86565	0.08424819790540139	0.07884214092713622
120.7634665966034	4	16000	320	-0.6742268986923003	-33.71134493461502	8.039838924009794	-20.978368279208677	-61.612996265629874	50.0	0.0	96000	1920	-33.71134493461502	0.0013900943505058259	0.35366544	202.24101	0.08310823102766272	0.08034876082733676
149.22701835632324	5	16000	320	-0.6477535574813896	-32.38767787406948	6.7279627957765	-20.490634443606822	-57.48018223141066	50.0	0.0	112000	2240	-32.38767787406948	0.0015076621973647564	0.35056907	195.3046	0.08300866936471081	0.08044406461760778
178.09973740577698	6	16000	320	-0.6235747168276331	-31.17873584138166	5.929935313408432	-19.88116362724934	-50.938848845869565	50.0	0.0	128000	2560	-31.17873584138166	0.0016147957153342112	0.34681898	178.6731	0.07942374268714009	0.07633075071469402
206.86524105072021	7	16000	320	-0.6009461934257837	-30.047309671289185	5.153706942412295	-18.602309032555194	-46.08358335725764	50.0	0.0	144000	2880	-30.047309671289185	0.0017179550169627133	0.3442424	125.69482	0.08057020604303071	0.07786473697951718
235.70571494102478	8	16000	320	-0.5715139251711688	-28.575696258558434	4.980978108989525	-18.67850488578083	-51.299885773749125	50.0	0.0	160000	3200	-28.575696258558434	0.0018122547168122024	0.3407573	137.84879	0.07131819758092116	0.06951516537468977
264.5879409313202	9	16000	320	-0.5580404141405838	-27.90202070702919	4.691342191639495	-19.173959384167162	-44.840673152360154	50.0	0.0	176000	3520	-27.90202070702919	0.0018997309746358367	0.33688366	138.83287	0.06884763943584182	0.06646487359617516
293.4097249507904	10	16000	320	-0.551770748425346	-27.5885374212673	4.211290976224404	-16.615115050324277	-41.5969703150286	50.0	0.0	192000	3840	-27.5885374212673	0.001984681580440598	0.33322477	103.24192	0.06754405872622381	0.06697421572280012
322.1611306667328	11	16000	320	-0.5262188821917684	-26.310944109588423	4.2116748554209	-16.116558460677613	-38.13980129761169	50.0	0.0	208000	4160	-26.310944109588423	0.0020641178563907195	0.32940987	119.69336	0.07078242996370142	0.06938985363480414
351.42378401756287	12	16000	320	-0.5156011454744196	-25.780057273720978	4.337563430751085	-15.699525832729169	-41.477582866126	50.0	0.0	224000	4480	-25.780057273720978	0.0021398736450006493	0.32556778	120.55518	0.07107854654103218	0.06915087415749374
380.62770557403564	13	16000	320	-0.5044484659040374	-25.222423295201867	3.784515788455409	-16.204732132876885	-39.71338401882735	50.0	0.0	240000	4800	-25.222423295201867	0.0022129240935430303	0.3217358	95.60419	0.06498593839913637	0.06340401943393516
407.2447440624237	14	16000	320	-0.4893252408957265	-24.46626204478632	3.5553367081844005	-15.282208217841738	-36.156441534486355	50.0	0.0	256000	5120	-24.46626204478632	0.002284383730486657	0.3182658	103.65347	0.06265612210763295	0.0614669867739744
433.6017782688141	15	16000	320	-0.47532005327339116	-23.766002663669557	3.6089446572209565	-12.950499075313354	-37.36958684867824	50.0	0.0	272000	5440	-23.766002663669557	0.002353158025867431	0.31481355	96.96766	0.06607224918954034	0.06438449580547376
460.8193690776825	16	16000	320	-0.46655039309049695	-23.327519654524842	3.2450147381687326	-14.161892666301211	-33.17929642625269	50.0	0.0	288000	5760	-23.327519654524842	0.002420848124505711	0.31139392	71.05813	0.06276320837479003	0.06150993680307505
489.067334651947	17	16000	320	-0.45227122470256403	-22.613561235128202	3.3255338443262312	-14.604356131724956	-33.00659571469406	50.0	0.0	304000	6080	-22.613561235128202	0.002485807878681825	0.30754912	73.26772	0.06467640276409897	0.06344909356235894
517.761625289917	18	16000	320	-0.4437239071881713	-22.18619535940857	3.189972342533108	-14.095116288721224	-30.29881839407042	50.0	0.0	320000	6400	-22.18619535940857	0.00254905761502468	0.30370992	68.38382	0.0629275740336983	0.06223860900370157
546.5327394008636	19	16000	320	-0.4370099375047111	-21.850496875235557	3.5726946770351105	-13.938503929926448	-33.90140098444304	50.0	0.0	336000	6720	-21.850496875235557	0.0026092206016624484	0.2994216	78.57889	0.06521131783969285	0.06492945088934994
575.5205218791962	20	16000	320	-0.4291328447359041	-21.4566422367952	3.122352754958559	-13.911883017512388	-30.132974155103835	50.0	0.0	352000	7040	-21.4566422367952	0.0026688073360281845	0.29620552	81.519135	0.06286592676687248	0.061562111336151165
604.5138099193573	21	16000	320	-0.41952680979418816	-20.976340489709408	3.0352465838196157	-12.424016690641041	-28.75631985521656	50.0	0.0	368000	7360	-20.976340489709408	0.0027275402869477217	0.29274678	66.00355	0.06490135227365643	0.06391834392448595
633.3732030391693	22	16000	320	-0.4063217771379737	-20.316088856898684	2.893718876796877	-11.524407144288098	-27.09411060330073	50.0	0.0	384000	7680	-20.316088856898684	0.0027849806620561897	0.2894292	60.85614	0.0625316688501534	0.06086134357166916
662.0444102287292	23	16000	320	-0.39683731255270444	-19.841865627635222	2.901523107284275	-12.467236640711082	-27.95087185884505	50.0	0.0	400000	8000	-19.841865627635222	0.0028420240311476147	0.28642872	47.56479	0.06371613028258012	0.062436834901206786
691.1151330471039	24	16000	320	-0.3901463715467868	-19.50731857733934	2.9303823765527293	-12.442425857808292	-29.2302055702814	50.0	0.0	416000	8320	-19.50731857733934	0.0028973590852079682	0.28348953	62.974747	0.06057301693111967	0.05901738304075723
720.7362003326416	25	16000	320	-0.38390515590789537	-19.19525779539477	2.9462811559152455	-10.001082974219308	-28.805404736625192	50.0	0.0	432000	8640	-19.19525779539477	0.0029515336126161836	0.27994907	45.032722	0.05790307459521018	0.05741278538308372
749.120290517807	26	16000	320	-0.3749048471113552	-18.74524235556776	2.990501996451112	-10.20259134817741	-28.36965379973712	50.0	0.0	448000	8960	-18.74524235556776	0.003004325134340538	0.2766105	56.132378	0.05986600891707476	0.05916062941837945
775.8988270759583	27	16000	320	-0.3773198215268632	-18.86599107634316	2.902644989591626	-11.289278996818775	-25.068325913944122	50.0	0.0	464000	9280	-18.74524235556776	0.0030567130289332212	0.2735235	43.78797	0.060394252941519205	0.05965845550958144
805.3470153808594	28	16000	320	-0.3590431735825206	-17.952158679126025	3.1379724026617426	-10.376536692118487	-25.60117991541687	50.0	0.0	480000	9600	-17.952158679126025	0.003107921072126305	0.27044642	50.992653	0.06556365382192865	0.06461029377895437
837.9100291728973	29	16000	320	-0.3502500555231653	-17.512502776158264	3.1501347599995886	-9.958217947588917	-25.949853431923007	50.0	0.0	496000	9920	-17.512502776158264	0.0031571220139325657	0.2668782	61.08747	0.06366464697135342	0.06190460930068341
871.5469868183136	30	16000	320	-0.3454303701850273	-17.27151850925137	2.959646599062135	-9.623269807089331	-26.01306452664799	50.0	0.0	512000	10240	-17.27151850925137	0.0032062229344480527	0.26379162	56.687187	0.06214356432655069	0.06093385079001453
904.7672109603882	31	16000	320	-0.34132038977734236	-17.06601948886712	2.841313704455323	-10.307466927640938	-25.318018105911463	50.0	0.0	528000	10560	-17.06601948886712	0.0032550956614892605	0.2610003	44.66571	0.05767148261048057	0.05646969114220478
938.0226874351501	32	16000	320	-0.3379658324794656	-16.89829162397328	2.7620523063535756	-10.307348968747098	-23.49940478912567	50.0	0.0	544000	10880	-16.89829162397328	0.003302828348886198	0.2580338	48.77153	0.05742789473591792	0.05652675089526566
972.1351270675659	33	16000	320	-0.3288157181943158	-16.44078590971579	2.989676026012011	-9.868896052997195	-23.97686184369264	50.0	0.0	560000	11200	-16.44078590971579	0.003349842721361496	0.25484094	43.870228	0.060274369098669484	0.05966985967243618
1007.3774375915527	34	16000	320	-0.32436838041292726	-16.21841902064636	3.121719297074694	-8.872808519223454	-26.401376506307518	50.0	0.0	576000	11520	-16.21841902064636	0.0033965298388549214	0.25196365	35.80802	0.05397125169500173	0.052684463331086236
1042.0128977298737	35	16000	320	-0.3147228302571515	-15.736141512857575	2.8613036596586747	-9.508400463539479	-22.798462909436765	50.0	0.0	592000	11840	-15.736141512857575	0.0034428815728022514	0.24941458	30.983221	0.053326002696771554	0.050560158730920166
1075.9156703948975	36	16000	320	-0.3155136682930047	-15.775683414650235	3.1704646674060335	-8.141120695181108	-24.48810927393794	50.0	0.0	608000	12160	-15.736141512857575	0.0034881268590585177	0.24631888	34.198925	0.05644840317566047	0.05579738661973545
1111.001030921936	37	16000	320	-0.3047588954765195	-15.237944773825973	2.8774981349833406	-9.47982205279893	-22.60171001392282	50.0	0.0	624000	12480	-15.237944773825973	0.0035329221138684793	0.2437304	41.848022	0.05552568525825168	0.05351027042636364
1145.958946943283	38	16000	320	-0.30379406540318926	-15.189703270159464	3.142721913894545	-7.718413806854577	-22.214388796880016	50.0	0.0	640000	12800	-15.189703270159464	0.003577201203400868	0.24120753	40.955025	0.05444059867061778	0.05364400710526495
