Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	NrmseBefore(AE)	NrmseAfter(AE)
13.90134072303772	0	16000	320	-0.7148472796890449	-35.74236398445225	7.950972596327125	-21.99371365552324	-57.38677157847105	50.0	0.0	32000	640	-35.74236398445225	0.0034934771820777245	0.36197484	161.11455	0.007501333697483384	0.007498973755934744
37.35480570793152	1	16000	320	-0.7001786782034409	-35.00893391017205	8.204149149399504	-19.19658549920088	-59.20961541079721	50.0	0.0	48000	960	-35.00893391017205	0.003791168510865886	0.3546751	136.41386	0.039275779623401376	0.03755769891017686
64.15494847297668	2	16000	320	-0.6348553091919348	-31.74276545959674	7.235381079067995	-18.60994034800673	-53.39018204792431	50.0	0.0	64000	1280	-31.74276545959674	0.004074697026109704	0.344894	117.77704	0.07864926046221075	0.07566302952252471
92.38015556335449	3	16000	320	-0.595189916379288	-29.7594958189644	6.2084780550711445	-18.55468510106953	-50.174515906782986	50.0	0.0	80000	1600	-29.7594958189644	0.004323867789819935	0.33910483	121.3435	0.09135313025483369	0.08501481003618969
121.25558137893677	4	16000	320	-0.5687166534832886	-28.43583267416443	6.00056217309182	-16.12517297795669	-49.55352319398902	50.0	0.0	96000	1920	-28.43583267416443	0.004540635172006836	0.3317483	105.52486	0.07077865997385843	0.06694527168465184
149.98628878593445	5	16000	320	-0.5331337906794065	-26.656689533970326	5.790359150786407	-14.560229031379453	-46.972285449939896	50.0	0.0	112000	2240	-26.656689533970326	0.004663665270698326	0.32151353	130.69798	0.07169222266572552	0.06751263051344754
178.9608826637268	6	16000	320	-0.49445853500067505	-24.722926750033757	5.014346399046918	-15.709773549834365	-47.4395076842463	50.0	0.0	128000	2560	-24.722926750033757	0.00485388331160828	0.31244385	86.792244	0.061530066234334164	0.05628755414201251
207.81459879875183	7	16000	320	-0.4744312652465298	-23.721563262326487	4.5517982045196845	-14.500212482439196	-39.80481262444098	50.0	0.0	144000	2880	-23.721563262326487	0.005067653542108786	0.305144	78.57753	0.06308994803360939	0.058708134061744716
236.63392782211304	8	16000	320	-0.4597294135095127	-22.986470675475637	4.340493977378276	-14.436992491353925	-42.547366266791265	50.0	0.0	160000	3200	-22.986470675475637	0.005268222621252489	0.2981012	81.314156	0.06360882880094741	0.06114725078436306
265.5710554122925	9	16000	320	-0.4332430287645231	-21.662151438226154	3.7678506956185074	-12.841242730442326	-31.233726153247357	50.0	0.0	176000	3520	-21.662151438226154	0.0054748523927650745	0.29147643	66.38146	0.044718376563196695	0.04295651192009618
294.5028266906738	10	16000	320	-0.41683047644499105	-20.841523822249552	3.8016921907249355	-12.33487937906553	-34.257550224520564	50.0	0.0	192000	3840	-20.841523822249552	0.0056418001117238634	0.28389132	69.553856	0.06570440827266144	0.06333990254557732
323.38246631622314	11	16000	320	-0.39548291613711317	-19.774145806855657	3.6776603651704836	-11.528577844367545	-31.774540746749352	50.0	0.0	208000	4160	-19.774145806855657	0.005821150718774919	0.2771752	62.35367	0.0614584962554265	0.05866046570741147
352.6897313594818	12	16000	320	-0.3870980286398358	-19.354901431991788	3.415647006510223	-12.309005248418698	-29.093762340707354	50.0	0.0	224000	4480	-19.354901431991788	0.005996915423021866	0.27069655	58.7439	0.06257269477941785	0.060427936248169625
382.22501158714294	13	16000	320	-0.3660279207632347	-18.301396038161734	3.153270829930105	-11.100142422171862	-27.712391686722782	50.0	0.0	240000	4800	-18.301396038161734	0.006173544561110016	0.2645107	44.699368	0.059233892182424794	0.05690066206371363
409.5449366569519	14	16000	320	-0.35905647485902137	-17.952823742951068	3.1752578798186133	-10.87502574715085	-30.787436409453413	50.0	0.0	256000	5120	-17.952823742951068	0.0063400934436415495	0.25937635	50.02795	0.056932027737972894	0.05406591715683762
435.8811914920807	15	16000	320	-0.3485132736437827	-17.425663682189136	3.301173528479511	-11.218084709941962	-27.95612047879576	50.0	0.0	272000	5440	-17.425663682189136	0.006495440522609844	0.25334096	57.71022	0.05515043826302591	0.053615904461575624
462.3087065219879	16	16000	320	-0.3369652575341183	-16.848262876705913	2.958798129081133	-9.729471959650642	-25.65325335506635	50.0	0.0	288000	5760	-16.848262876705913	0.006652311147361091	0.24798255	53.402912	0.057632328509984204	0.05663529872327219
490.27219247817993	17	16000	320	-0.32259708434571766	-16.129854217285885	3.0827594956168602	-10.2694804204748	-27.515132026311814	50.0	0.0	304000	6080	-16.129854217285885	0.006794162874129801	0.24239145	56.413082	0.057437479373350246	0.055782661122451616
519.0180304050446	18	16000	320	-0.3170406839864319	-15.852034199321594	2.977499407093278	-9.37162491516719	-24.901367265175153	50.0	0.0	320000	6400	-15.852034199321594	0.0069376647962364965	0.23693162	48.341946	0.05189963858679294	0.04981943990991616
547.6400439739227	19	16000	320	-0.30363215296757423	-15.181607648378712	2.8424612240642007	-9.368280225272638	-23.99381845152042	50.0	0.0	336000	6720	-15.181607648378712	0.007083975714621472	0.23245567	48.384758	0.056657535982510214	0.05445781380005394
