Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	ExplainVarianceBefore(AE)	ExplainVarianceAfter(AE)	MeanExplainVarianceBefore(AE)	MeanExplainVarianceAfter(AE)	NumberOfExpertRollouts	NumberOfLearnerRollouts
94.6092369556427	0	50073	2361	4.900911624709815	104.6886707380097	41.16393046430878	405.2702695783929	62.467287608948915	21.20838627700127	7.72487179169341	100179	4520	104.6886707380097	0.053562500194336435	0.13569012	10.946077	3.159322566115286e-05	-8.654681094522054e-05	nan	nan	0.0	2343
222.1458444595337	1	50091	2218	4.9143847658023585	111.69283962255558	43.91058765343916	355.85175015727015	62.35124154314904	22.583859332732192	8.353195804369006	150238	6863	111.69283962255558	0.04039520527700077	0.13605753	19.217749	-0.15650229338068145	0.14312467322391675	nan	nan	0.0	2215
348.520224571228	2	50061	1981	4.931076879333544	125.20797360763427	49.498622919865	434.43237561294995	67.23734424784753	25.270570418980313	9.62048583654481	200296	9078	125.20797360763427	0.042612581586459454	0.13601956	15.11005	0.2763981633332693	0.36951551457437015	nan	nan	0.0	2019
474.38600897789	3	50111	1836	4.952242151472817	135.91429365826798	52.61316558247224	451.3114011966494	67.28262991494532	27.293572984749456	10.053906018637798	250468	11097	135.91429365826798	0.0444182683567387	0.13582861	13.848776	0.41408548284939295	0.44130171003269747	nan	nan	0.0	1827
596.6875286102295	4	50089	1704	4.957718823823211	146.36430174173265	56.379175454390634	411.8102792575624	67.32670976412712	29.394953051643192	10.936951102155545	300579	12924	146.36430174173265	0.04507351239773916	0.13573043	13.552771	0.43970316011017563	0.46157071906644864	nan	nan	0.0	1713
716.2359640598297	5	50093	1602	4.973746331002524	156.16561706407342	59.37625276825656	626.5724661863579	71.9754495360078	31.26903870162297	11.425901000912225	350720	14637	156.16561706407342	0.045047242090144664	0.13556275	14.593843	0.4759594258507903	0.4874131706306939	nan	nan	0.0	1622
834.8708999156952	6	50163	1541	4.985623524016591	162.99934623586566	57.849083917404805	391.3463517909512	72.29499414032529	32.55223880597015	11.072091203494807	400859	16259	162.99934623586566	0.04485357099741444	0.13532548	14.4730215	0.4829965276022191	0.5056583096903509	nan	nan	0.0	1517
952.2809624671936	7	50085	1430	5.001969200990085	176.05397227045077	62.965527513612386	553.2936035102329	72.02551412325873	35.02447552447553	11.910627074689982	451022	17776	176.05397227045077	0.0445266838331471	0.13493745	13.160366	0.4962272928479219	0.49685545137211873	nan	nan	0.0	1438
1069.2060005664825	8	50172	1367	5.013318089398414	184.75732833037898	62.80108693832371	437.9399193471773	72.15109237977862	36.70226773957571	11.905683451270187	501208	19214	184.75732833037898	0.043793373030617776	0.13460395	15.009881	0.5133674417864043	0.5388794998782336	nan	nan	0.0	1372
1185.4090807437897	9	50220	1295	5.033618881229868	195.85848622775663	65.79331141701097	514.0332045577901	71.90462807167067	38.77992277992278	12.536226362929495	551413	20586	195.85848622775663	0.043251944084685905	0.13439104	14.450906	0.5377226512469842	0.5461985060707872	nan	nan	0.0	1293
1299.8124346733093	10	50177	1240	5.039142813208874	204.45498821291991	63.77939956847317	425.7770497896705	82.2452759416209	40.465322580645164	12.192558176852867	601703	21879	204.45498821291991	0.04222452662439633	0.13389646	16.02617	0.5455846183059248	0.5591255850378676	nan	nan	0.0	1248
1413.065019607544	11	50228	1177	5.059830832051657	216.42083640419273	65.53172547317045	529.2923001542273	81.58632426913704	42.67459643160578	12.474966281142295	651859	23127	216.42083640419273	0.041075414917869216	0.13353455	17.519312	0.5588801276187991	0.586072370067265	nan	nan	0.0	1204
1535.1527314186096	12	50304	1125	5.090120550308461	228.14562281977095	68.04395318728699	524.757332923937	86.58300489009804	44.714666666666666	12.855553335253818	702080	24331	228.14562281977095	0.04015348114255772	0.13309492	16.934053	0.5685089803727191	0.5817399923330311	nan	nan	0.0	1114
1650.3440613746643	13	50182	1063	5.112732120102506	241.76367639722747	68.56568450755186	646.4285318146153	72.0862346529479	47.20790216368768	13.0036919868413	752320	25445	241.76367639722747	0.03910338691919415	0.13259147	17.739029	0.5871499294946401	0.5988037870631936	nan	nan	0.0	1070
1765.0743906497955	14	50197	1039	5.111545162601338	247.38852049441823	65.03870614543493	517.4678493139999	95.23063191113027	48.312800769971126	12.180916445692366	802462	26515	247.38852049441823	0.03837451579810074	0.13229015	16.702324	0.5983014201056098	0.5939814209190131	nan	nan	0.0	1039
1879.2188942432404	15	50259	1005	5.129354836125412	256.82475601590903	68.30236413889317	571.2498316972485	89.93394511399727	50.0089552238806	12.897719317191694	852637	27554	256.82475601590903	0.03757353870836313	0.13225959	14.881426	0.5988906793773277	0.6249946218492644	nan	nan	0.0	989
1995.142876625061	16	50210	969	5.135867995269693	266.2198800741038	64.74246243908992	574.548222808959	114.78938146768031	51.81630546955624	12.32251927544385	902926	28543	266.2198800741038	0.03675610614641647	0.13204063	16.74831	0.6048947515044916	0.6165745856011926	nan	nan	0.0	957
2111.755061864853	17	50347	946	5.1602266388981315	274.7068914204531	65.42320348644077	563.8556299496067	110.05933008702935	53.22093023255814	12.40042050629639	953053	29500	274.7068914204531	0.035913087073924474	0.1315866	16.462458	0.6089243128553885	0.615097582438604	nan	nan	0.0	930
