Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	NrmseBefore(AE)	NrmseAfter(AE)
30.07344961166382	0	16007	84	-0.49648381216107884	-90.98880735840166	90.42788528503318	19.703742984580302	-343.8622074996962	190.5595238095238	182.10916082645625	32063	307	-90.98880735840166	0.00039288591103817734	0.3660949	877.3033	0.008132156743965195	0.008125957377592235
64.34723138809204	1	16154	117	-0.46889429644223735	-59.2406459050054	70.70691660954643	21.080377642463645	-290.5544436049972	138.06837606837607	155.58858341962383	48217	424	-59.2406459050054	0.00040145551226273196	0.36549082	809.4937	0.10992367849791619	0.10379410971199649
97.24185872077942	2	16204	96	-0.3948834865533956	-63.94413375923792	76.6832068721759	40.960287749580566	-313.9711866755802	168.79166666666666	166.26027015061524	64421	520	-59.2406459050054	0.0003615350854776759	0.36428124	996.90967	0.14033410907541255	0.1348822650662041
131.23225808143616	3	16087	111	-0.3978063068922353	-53.71418657607048	63.045143173647716	14.7493059484446	-281.69306998353284	144.92792792792793	158.39355204091788	80508	631	-53.71418657607048	0.0003479764424497722	0.36403495	874.54846	0.13399118644058763	0.1297801449512865
164.4306559562683	4	16279	93	-0.34599349337429874	-55.055548311802475	62.257721598029235	36.62700542120418	-212.66833742156604	175.04301075268816	164.93113023309954	96787	724	-53.71418657607048	0.000309856983467466	0.36280224	1325.066	0.16487545240795104	0.16044298084417818
197.46537923812866	5	16033	115	-0.366262529490501	-40.6412441774045	49.03994546385266	44.25295638776417	-238.8916052007529	139.41739130434783	150.87253373849387	112820	839	-40.6412441774045	0.0002993647049043926	0.3621758	1123.7997	0.125942386265314	0.12379832082825089
230.07279515266418	6	16161	96	-0.33019528791757	-51.94439088492168	56.15902404972965	35.66936271460378	-255.47406632874538	168.34375	154.19689983676983	128981	935	-40.6412441774045	0.0002794455019596912	0.36074567	1322.7988	0.1481573880575802	0.1439891177760273
262.9856128692627	7	16015	87	-0.23935109519590994	-43.85315260107798	55.812432270275664	34.91710227831778	-204.15487986363325	184.08045977011494	176.1849353868255	144996	1022	-40.6412441774045	0.0002728569747888957	0.35971397	1074.1282	0.1352837386341314	0.1293935611897658
295.3437578678131	8	16014	82	-0.23300341198431473	-44.71139399289653	52.25518784215989	37.37963046907572	-177.64915819705806	195.29268292682926	182.8368917118498	161010	1104	-40.6412441774045	0.0002628219773768835	0.35931426	1230.54	0.14845381655119258	0.14377718265541228
327.16710019111633	9	16204	103	-0.23181467184556567	-37.588318704428296	54.39872457745471	33.92864072437011	-208.134644492755	157.32038834951456	168.4101681311027	177214	1207	-37.588318704428296	0.00026187139774352307	0.358052	1134.2563	0.1537427248480543	0.14792110229801064
