Time	Iteration	NumSamples	NumberOfRollouts	MeanAvgOfRewards	MeanSumOfRewards	StdSumOfRewards	MaxSumOfRewards	MinSumOfRewards	MeanRolloutLens	StdRolloutLens	TotalNumberOfSamples	TotalNumberOfRollouts	BestSumOfRewards	stepsize	std	g_norm	NrmseBefore(AE)	NrmseAfter(AE)
14.569456815719604	0	16000	320	-0.6216336826699786	-31.081684133498936	7.006539971367012	-17.301834923767828	-56.9526155518228	50.0	0.0	32000	640	-31.081684133498936	0.004022738563975593	0.35579133	129.77971	0.006259858054537239	0.006259589378009355
42.729031801223755	1	16000	320	-0.5943671361011459	-29.718356805057294	6.124612026397686	-16.17092830875279	-56.428158087303345	50.0	0.0	48000	960	-29.718356805057294	0.0042446231096857885	0.34853917	145.66605	0.1063356800716772	0.062295295821898106
72.21186518669128	2	16000	320	-0.5598914571973174	-27.994572859865865	5.3231975913186185	-17.73342578040105	-51.73969655583249	50.0	0.0	64000	1280	-27.994572859865865	0.0046277667668101815	0.33939174	90.32774	0.06959319155308236	0.05915578898553661
101.67703008651733	3	16000	320	-0.5189678063228039	-25.948390316140195	4.728986731763182	-16.835161944533322	-46.47689770876455	50.0	0.0	80000	1600	-25.948390316140195	0.0050072820066939736	0.3301596	77.46389	0.059637492120324376	0.054702603063468934
131.32900619506836	4	16000	320	-0.4754361984639385	-23.771809923196923	4.515525247659873	-12.247323417077924	-41.141975370828185	50.0	0.0	96000	1920	-23.771809923196923	0.005212688853227436	0.32028794	89.15209	0.06965431051737012	0.06290153686905632
161.6705060005188	5	16000	320	-0.45481719023156647	-22.74085951157833	3.9958208974812006	-14.64667660324485	-35.643877733970484	50.0	0.0	112000	2240	-22.74085951157833	0.005458582467238204	0.3109559	69.378525	0.057267094193587414	0.05344881802843841
191.72972345352173	6	16000	320	-0.4313975394713342	-21.56987697356671	4.021261032648553	-11.30554709844605	-34.66972979361264	50.0	0.0	128000	2560	-21.56987697356671	0.005737733463132659	0.302456	54.37356	0.05595485619218205	0.05215232080713135
222.17274928092957	7	16000	320	-0.4121076354695292	-20.60538177347646	3.8571511610288645	-12.39666638723183	-31.546870564936427	50.0	0.0	144000	2880	-20.60538177347646	0.005982091552294139	0.29289764	51.516987	0.06081946312908914	0.056653772242584326
252.28870844841003	8	16000	320	-0.3778611656253596	-18.89305828126798	3.831876799414617	-9.841710569570576	-30.79560043523994	50.0	0.0	160000	3200	-18.89305828126798	0.00624087731519758	0.28501996	51.955494	0.061510393548935005	0.05645576460136945
282.05757427215576	9	16000	320	-0.36926197062217864	-18.463098531108933	3.447108173704065	-10.985203835145967	-28.106705747318177	50.0	0.0	176000	3520	-18.463098531108933	0.006494106191050133	0.2770636	34.047787	0.052866973437154206	0.049117634725952805
313.1068251132965	10	16000	320	-0.3491204381551378	-17.456021907756888	3.392300714931715	-10.742709059751752	-27.178499260563047	50.0	0.0	192000	3840	-17.456021907756888	0.006733565873064014	0.27009645	35.34063	0.059151037334993446	0.05616189311386984
346.48793363571167	11	16000	320	-0.34414621877895585	-17.207310938947792	3.3730420013234776	-9.513466695240544	-27.620763912566705	50.0	0.0	208000	4160	-17.207310938947792	0.0069702569505632524	0.2635673	39.41212	0.055799441020392554	0.05286594064637817
380.2412347793579	12	16000	320	-0.33449431953514874	-16.724715976757437	3.4361908602142415	-9.77747453366752	-24.762365758997028	50.0	0.0	224000	4480	-16.724715976757437	0.00718947416720466	0.25703597	42.5921	0.050860122441710856	0.04896046896909768
411.7980246543884	13	16000	320	-0.31879829699248285	-15.939914849624142	3.626106023027439	-8.265204204044847	-23.682087742943786	50.0	0.0	240000	4800	-15.939914849624142	0.007384182213502845	0.2502001	45.876366	0.0543143437687858	0.05208272846613663
441.5570957660675	14	16000	320	-0.3036750823879716	-15.183754119398577	3.4513209321675578	-7.71149142122108	-24.39713800171417	50.0	0.0	256000	5120	-15.183754119398577	0.007585712298833096	0.24417391	40.876827	0.05189852351365496	0.04948197198898241
470.8337137699127	15	16000	320	-0.29671630573819485	-14.835815286909746	3.3076506658181866	-8.086599359109236	-23.861764543237225	50.0	0.0	272000	5440	-14.835815286909746	0.0077863446142798194	0.23840016	32.279823	0.04607729866481664	0.04299801759105907
496.72487020492554	16	16000	320	-0.2926682069141471	-14.633410345707357	3.4403387849752116	-7.081308094059095	-22.695118363025554	50.0	0.0	288000	5760	-14.633410345707357	0.007984009737360204	0.2329264	34.06348	0.044546820624736395	0.04212133478119885
522.1340565681458	17	16000	320	-0.28577700430803804	-14.288850215401903	3.583826511939995	-7.240094793056667	-23.90889798765148	50.0	0.0	304000	6080	-14.288850215401903	0.008175589508403403	0.22766976	39.56937	0.04373758800535213	0.04173981629345392
549.7973318099976	18	16000	320	-0.2781565352892049	-13.907826764460244	3.5039613474443376	-6.85423942350504	-22.063779474141562	50.0	0.0	320000	6400	-13.907826764460244	0.008354827329553302	0.22234079	44.294888	0.04370143446808045	0.04258283104449667
578.1149308681488	19	16000	320	-0.27390322236943876	-13.69516111847194	3.4843840506050334	-6.389070934608102	-20.886777943214696	50.0	0.0	336000	6720	-13.69516111847194	0.008541089536109792	0.21757938	29.476671	0.04095992225972193	0.03930447876940109
606.4234697818756	20	16000	320	-0.2604938452579401	-13.024692262897005	3.6456675366399107	-5.956613249377644	-21.59085532288087	50.0	0.0	352000	7040	-13.024692262897005	0.008720534600663726	0.21310097	34.441982	0.03921505897539871	0.03649073214461156
634.8974413871765	21	16000	320	-0.255415453669458	-12.770772683472899	3.3216851384096953	-5.985502372084289	-20.83417292111585	50.0	0.0	368000	7360	-12.770772683472899	0.008892025729319918	0.20821238	30.105818	0.036622312655698486	0.03619872532763892
663.246417760849	22	16000	320	-0.25190393569743963	-12.59519678487198	3.3760720834613656	-6.441109906735846	-20.16293162206939	50.0	0.0	384000	7680	-12.59519678487198	0.009066121095735562	0.2039135	24.937037	0.03766888294886784	0.037013112368234846
692.4135160446167	23	16000	320	-0.23982524451568824	-11.99126222578441	3.3957095502226187	-5.821072750500227	-19.60158127426589	50.0	0.0	400000	8000	-11.99126222578441	0.009239334008661903	0.20001346	29.354286	0.03656744788292347	0.03540022386824217
721.8049669265747	24	16000	320	-0.24173407145436587	-12.086703572718294	3.4403775843900064	-4.702266109437393	-20.47840519766421	50.0	0.0	416000	8320	-11.99126222578441	0.0094087027409913	0.19619784	30.325449	0.034078760248959734	0.03334639919719214
749.4257659912109	25	16000	320	-0.22986371179038492	-11.493185589519246	3.362094493396854	-4.9293903480792896	-19.61864745716818	50.0	0.0	432000	8640	-11.493185589519246	0.009567712286550975	0.19186878	30.870451	0.03258820701323645	0.03130726543573835
776.2842893600464	26	16000	320	-0.2256816033935543	-11.284080169677713	3.4263457456743955	-4.1304199212886	-18.408697044420297	50.0	0.0	448000	8960	-11.284080169677713	0.0097292165513762	0.18812636	28.878225	0.0362805321597671	0.03516614737297337
805.5225694179535	27	16000	320	-0.21838702289467798	-10.9193511447339	3.265749364715772	-4.981289266437601	-18.602520643839743	50.0	0.0	464000	9280	-10.9193511447339	0.009891724832165622	0.1850152	31.996817	0.03527829989761299	0.0336370742892332
838.8246614933014	28	16000	320	-0.22679718705996219	-11.33985935299811	3.503700534956752	-5.087487897300988	-19.1085406751767	50.0	0.0	480000	9600	-10.9193511447339	0.010046609900240196	0.18142766	26.590689	0.03287830244622567	0.03178312376406119
872.2299852371216	29	16000	320	-0.2198466205710361	-10.992331028551806	3.55908369403549	-4.355601953760432	-18.370294861231386	50.0	0.0	496000	9920	-10.9193511447339	0.010202684298514926	0.17810637	22.315252	0.03308816975718695	0.032188791471293915
905.5013294219971	30	16000	320	-0.21972491510797454	-10.986245755398725	3.477224799593574	-4.1598205318273935	-18.565930145538406	50.0	0.0	512000	10240	-10.9193511447339	0.010356270787694131	0.17532825	30.421963	0.032093501296281655	0.031196915830000397
939.423157453537	31	16000	320	-0.21391692125743217	-10.695846062871606	3.3672758102999154	-4.537530588534547	-17.893975480405313	50.0	0.0	528000	10560	-10.695846062871606	0.010508049643942346	0.17223018	22.008587	0.03083382879306968	0.029568914951642204
974.1670169830322	32	16000	320	-0.20377172374771071	-10.188586187385535	3.3091855529761163	-4.14932213193808	-18.158347931410265	50.0	0.0	544000	10880	-10.188586187385535	0.010656429945996578	0.16912971	26.082045	0.03055448970116846	0.02988683436172281
1008.636298418045	33	16000	320	-0.20058273891799114	-10.029136945899557	3.2950324722850888	-3.9212606466675215	-17.688260454588214	50.0	0.0	560000	11200	-10.029136945899557	0.010802352335889094	0.16632518	27.11343	0.030400845748711613	0.029018980916925643
1042.8477096557617	34	16000	320	-0.20392719632610837	-10.196359816305419	3.340564524425792	-4.157866052115774	-17.199879837855537	50.0	0.0	576000	11520	-10.029136945899557	0.010949939811880421	0.16373432	21.760792	0.028205630651973835	0.027530507039522478
1077.1467852592468	35	16000	320	-0.21053536940220519	-10.526768470110259	3.5217621003896564	-3.413127588293321	-17.545556994345958	50.0	0.0	592000	11840	-10.029136945899557	0.011093079105903401	0.16104676	28.970238	0.028104971565944447	0.02735676114219937
1111.3675928115845	36	16000	320	-0.20620626315385251	-10.310313157692624	3.6987454042412558	-3.4175269350203368	-18.555695752137172	50.0	0.0	608000	12160	-10.029136945899557	0.011234045944911534	0.15835772	22.65384	0.02782568372606004	0.027050927652996264
